scientific name|common name|current distribution|family|federal listing status
Acipenser fulvescens|Lake Sturgeon|AL, AR, GA, IA, IL, IN, KS, KY, LA, MI, MN, MO, MS, NE, NY, OH, PA, SD, TN, VT, WI, WV|Acipenseridae|Under Review in the Candidate or Petition Process
Acronicta albarufa|Barrens Dagger Moth|AR, CO, CT, DE, GA, MA, MO, NC, NJ, NM, NY, OH, PA|Noctuidae|Not Listed
Agapetus artesus|Artesian Agapetus Caddisfly|MO|Glossosomatidae|Not Listed
Alasmidonta marginata|Elktoe|AL, IN, KS, MD, MI, MN, MO, ND, NY, OH, OK, PA, SD, TN, VA, WI, WV|Unionidae|Not Listed
Allocrangonyx hubrichti|Central Missouri cave amphipod|MO|Gammaridae|Not Listed
Amblyopsis rosae|Ozark cavefish|AR, KS, MO, OK|Amblyopsidae|Threatened
Ammodramus bairdii|Baird's sparrow|CO, ID, KS, MN, MO, MT, ND, NE, NM, OK, SD, TX, WY|Emberizidae|Not Listed
Antrobia culveri|Tumbling Creek cavesnail|MO|Hydrobiidae|Endangered
Bactrurus hubrichti|Kansas well amphipod|KS, MO, OK|Crangonyctidae|Not Listed
Calidris canutus rufa|Rufa Red Knot|AL, AR, CO, CT, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, WI, WV, WY|Scolopacidae|Threatened
Cambarus aculabrum|Benton County Cave Crayfish|AR, MO|Cambaridae|Endangered
canis latrans|Coyote,AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY|Canidae|Not Listed
Catocala marmorata|Marbled Underwing Moth|DE, IL, IN, KY, MO, NC, NJ, NY, OH, PA, SC, VA, VT, WV|Noctuidae|Not Listed
Charadrius melodus|Piping Plover|AL, AR, CO, CT, DE, FL, GA, IA, KS, LA, MA, MD, ME, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OK, RI, SC, SD, TN, TX, VA, WY|Charadriida|Threatened
Chlidonias niger|Black Tern|CA, CO, IA, ID, IL, IN, KS, ME, MI, MN, MO, MT, ND, NE, NV, NY, OH, OR, SD, UT, WA, WI, WY|Laridae|Not Listed
Corynorhinus Townsendii ingens|Ozark Big-Eared Bat|AR, MO, OK|Vespertilionidae|Endangered
Cottus sp.|Bluestone sculpin|MO|Cottidae|Not Listed
Cottus specus|Grotto Sculpin|MO|Cottidae|Endangered
Cryptobranchus alleganiensis|Eastern Hellbender|MO|Cryptobranchidae|Endangered
Cryptobranchus alleganiensis bishopi|Ozark Hellbender|AR, MO|Cryptobranchidae|Endangered
Cumberlandia monodonta|Spectaclecase Mussel|AL, AR, IA, IL, KY, MN, MO, TN, VA, WI, WV|Margaritiferidae|Endangered
Cyprogenia aberti|Western Fanshell|AR, KS, MO, OK|Unionidae|Threatened
Danaus plexippus|Monarch Butterfly|AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY|Nymphalidae|Candidate
Deirochelys reticularia ssp. miaria|Western Chicken Turtle|AR, MO, MS, TX|Emydidae|Under Review in the Candidate or Petition Process
Dendroica cerulea|Cerulean Warbler|AL, AR, CT, DE, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, TN, TX, VA, VT, WI, WV|Parulidae|Not Listed
Dryobius sexnotatus|Sixbanded Long-Horned Beetle|AL, AR, IN, KS, KY, LA, MD, MI, MO, MS, OH, PA, TN, VA, WV|Cerambycidae|Not Listed
Echinargus isola|Reakirt's Blue Butterfly|AR, AZ, CA, CO, IA, KS, LA, MN, MO, MT, NM, NV, OK, SD, TX, UT, WY|Lycaenidae|Not Listed
Epioblasma florentina curtisii|Curtis Pearly Mussel|AR, MO|Unionidae|Endangered
Epioblasma lefevrei|Lefevre's Pearly Mussel|AR, MO|Unionidae|Not Listed
Epioblasma triquetra|Snuffbox Mussel|AL, AR, IL, IN, KY, MI, MN, MO, MS, NY, OH, PA, TN, VA, WI, WV|Unionidae|Endangered
Erimystax harryi|Ozark Chub|AR, MO,Cyprinidae|Not Listed
Etheostoma cragini|Arkansas Darter|AR, CO, KS, MO, OK|Percidae|Not Listed
Etheostoma nianguae|Niangua Darter|MO|Percidae|Threatened
Eurycea tynerensis|Oklahoma Salamander|AR, MO, OK|Plethodontidae|Not Listed
Faxonius eupunctus|Coldwater Crayfish|AR, MO|Cambaridae|Not Listed
Faxonius marchandi|Mammoth Spring Crayfish|AR, MO|Cambaridae|Not Listed
Faxonius peruncus|Big Creek Crayfish|MO|Cambaridae|Threatened
Faxonius quadruncus|St. Francis River Crayfish|MO|Cambaridae|Threatened
Felis concolor schorgeri|Wisconsin Puma|IA, IL, KS, MN, MO, WI|Felidae|Not Listed
Fundulus sciadicus|Plains Topminnow|CO, IA, KS, MN, MO, NE, OK, SD, WY|Cyprinodontidae|Not Listed
Fusconaia subrotunda|Longsolid|AL, GA, IL, IN, KY, MO, MS, NC, NY, OH, PA, SC, TN, VA, WV|Unionidae|Threatened
Glyphopsyche missouri|Missouri Glyphopsyche Caddisfly|MO|Limnephilidae|Not Listed
Graptemys pseudogeographica|False Map Turtle|IN, MN, MO, ND, WI|Emydidae|Not Listed
Gryllotalpa major|Prairie Mole Cricket|AR, IL, KS, MO, MS, OK|Gryllidae|Not Listed
Histrionicus histrionicus|Harlequin Duck|AK, AR, AZ, CA, CO, CT, DE, IA, ID, KS, MA, MD, ME, MN, MO, MT, NE, NH, NJ, NM, NV, OK, OR, RI, SD, TX, UT, WA, WY|Anatidae|Not Listed
Hybognathus argyritis|Western Silvery Minnow|IA, IL, KS, MO, MT, ND, NE, SD, WY|Cyprinidae|Not Listed
Hybognathus placitus|Plains Minnow|AR, CO, IA, IL, KS, KY, LA, MO, MT, ND, NE, NM, OK, SD, TX, WY|Cyprinidae|Not Listed
Kenkia glandulosa|Planarian|IA, MO|Kenkiidae|Not Listed
Kinosternon flavescens|Yellow Mud Turtle|IA, IL, MO, NE|Kinosternidae|Not Listed
Kinosternon flavescens spooneri|Illinois Mud Turtle|IA, IL, MO|Kinosternidae|Not Listed
Lampsilis abrupta|Pink Mucket Pearly Mussel|AL, AR, GA, IL, IN, KY, LA, MO, MS, OH, TN, VA, WV|Unionidae|Endangered
Lampsilis higginsii|Higgins Eye Pearly Mussel|IA, IL, MN, MO, NE, SD, WI|Unionidae|Endangered
Lampsilis rafinesqueana|Neosho Mucket|AR, KS, MO, OK|Unionidae|Endangered
Leptodea leptodon|Scaleshell Mussel|AR, IL, MO, NE, OK, SD|Unionidae|Endangered
Leptoxis arkansensis|Arkansas Mudalia|AR, MO|Pleuroceridae|Not Listed
Lordithon niger|Black Lordithon Rove Beetle|AR, CT, DC, GA, IL, KY, MI, MO, NC, NY, OH, PA, TX, VA, WV|Staphylinidae|Not Listed
Lytrosis permagnaria|Looper Moth|GA, KY, MO, MS, TN|Geometridae|Not Listed
Macrhybopsis gelida|Sturgeon Chub|AR, IA, IL, KS, KY, LA, MO, MS, MT, ND, NE, SD, TN, WY|Cyprinidae|Not Listed
Macrhybopsis meeki|Sicklefin Chub|AR, IA, IL, KS, KY, LA, MO, MS, MT, ND, NE, SD, TN|Cyprinidae|Not Listed
Macrochelys temminckii|Alligator Snapping Turtle|AL, AR, FL, GA, IL, KS, KY, LA, MO, MS, OK, TN, TX|Chelydridae|Threatened
Myotis grisescens|Gray Bat|AL, AR, FL, GA, IL, IN, KS, KY, MO, MS, NC, OK, TN, VA, WV|Vespertilionidae|Endangered
Myotis lucifugus|Little Brown Bat|AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY|Vespertilionidae|Under Review in the Candidate or Petition Process
Myotis septentrionalis|Northern Long-Eared Bat|AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV, WY|Vespertilionidae|Endangered
Myotis sodalis|Indiana Bat|AL, AR, CT, GA, IA, IL, IN, KY, MD, MI, MO, MS, NC, NJ, NY, OH, OK, PA, TN, VA, VT, WV|Vespertilionidae|Endangered
Neotrichia kitae|Kite's Neotrichian Micro Caddisfly|MO|Hydroptilidae|Not Listed
Nicrophorus americanus|American Burying Beetle|MO|Silphidae|Experimental Population, Non-Essential
Notropis ozarcanus|Ozark Shiner|AR, MO|Cyprinidae|Under Review in the Candidate or Petition Process
Notropis topeka|Topeka Shiner|IA, KS, MN, MO, NE, SD|Cyprinidae|Endangered
Noturus placidus|Neosho Madtom|KS, MO, OK|Ictaluridae|Threatened
Obovaria jacksoniana|Southern Hickorynut|AL, AR, LA, MO, MS, OK, TN, TX|Unionidae|Not Listed
Ochrotrichia contorta|Contorted Ochrotrichian Micro Caddisfly|AR, MO|Hydroptilidae|Not Listed
Ophiogomphus westfalli|Ozark Snaketail|AR, KS, MO|Gomphiidae|Not Listed
Orconectes williamsi|Crayfish|AR, MO|Camabaridae|Not Listed
Percina cymatotaenia|Bluestripe Darter|MO|Percidae|Under Review in the Candidate or Petition Process
Percina nasuta|Longnose Darter|AR, MO, OK|Percidae|Under Review in the Candidate or Petition Process
Percina uranidea|Stargazing Darter|AR, IL, IN, LA, MO|Percidae|Not Listed
Perimyotis subflavus|Tricolored Bat|AL, AR, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV, WY|Vespertilionidae|Proposed Endangered
Platygobio gracilis|Flathead Chub|AL, AR, CO, IA, IL, KS, KY, LA, MN, MO, MT, ND, NE, NM, OK, SD, TN, WY|Cyprinidae|Not Listed
Plethobasus cyphyus|Sheepnose Mussel|AL, IA, IL, IN, KY, MN, MO, MS, OH, PA, TN, VA, WI, WV|Unionidae|Endangered
Pleurocera alveare|Rugged Hornsnail|AL, AR, KY, MO, TN|Pleuroceridae|Not Listed
Polyodon spathula|Paddlefish|AL, AR, IA, IL, IN, KS, KY, LA, MN, MO, MS, MT, ND, NE, OH, OK, PA, SD, TN, TX, WI|Polyodontidae|Not Listed
Potamilus capax|Fat Pocketbook|AR, IL, IN, KY, LA, MO, MS, TN|Unionidae|Endangered
Pseudacris illinoensis|Illinois Chorus Frog|AR, IL, MO|Hylidae|Not Listed
Ptychobranchus occidentalis|Ouachita Kidneyshell|AR, KS, MO, OK|Unionidae|Not Listed
Quadrula cylindrica cylindrica|Rabbitsfoot|AL, AR, IL, IN, KS, KY, LA, MO, MS, OH, OK, PA, TN|Unionidae|Threatened
Quadrula fragosa|Winged Mapleleaf|AR, MN, MO, OK, TN, WI|Unionidae|Endangered
Regina septemvittata|Queen Snake|AR, MO|Colubridae|Not Listed
Scaphirhynchus albus|Pallid Sturgeon|AR, IA, IL, KS, KY, LA, MO, MS, MT, ND, NE, SD, TN|Acipenseridae|Endangered
Seratella frisoni|Frison's Seratellan Mayfly|AL, IL, MO|Ephemerellidae|Not Listed
Simpsonaias ambigua|Salamander Mussel|AR, IA, IL, IN, KY, MI, MO, NY, OH, PA, TN, WI, WV|Unionidae|Proposed Endangered
Somatochlora hineana|Hine's Emerald Dragonfly|IL, MI, MO, WI|Corduliidae|Endangered
Somatochlora ozarkensis|Ozark Emerald|AR, KS, MO, OK|Corduliidae|Not Listed
Speyeria diana|Diana Fritillary|AR, GA, IL, IN, LA, MD, MO, MS, NC, OH, PA, SC, TN, VA, WV|Nymphalidae|Not Listed
Speyeria idalia|Regal Fritillary|AR, CO, IA, IL, IN, KS, MN, MO, MT, ND, NE, OK, PA, SD, WI, WY|Nymphalidae|Under Review in the Candidate or Petition Process
Spilogale interrupta|Plains Spotted Skunk|AR, IA, KS, MN, MO, MT, ND, NE, OK, SD, TX, WY|Mustelidae|Not Listed
Sternula antillarum|Least Tern|AR, CO, IA, IL, IN, KS, KY, LA, MO, MS, MT, ND, NE, NM, OK, SD, TN, TX|Laridae|Recovery
Stygobromus barri|Barr's Cave Amphipod|MO|Crangonyctidae|Not Listed
Stygobromus clantoni|Clanton's Cave Amphipod|KS, MO|Crangonyctidae|Not Listed
Stygobromus heteropodus|Pickle Springs Amphipod|MO|Crangonyctidae|Not Listed
Stygobromus onondagaensis|Onondaga Cave Amphipod|MO|Crangonyctidae|Not Listed
Stygobromus ozarkensis|Ozark Cave Amphipod|AR, MO, OK|Crangonyctidae|Not Listed
Stygobromus subtilis|Subtle Cave Amphipod|IL, MO|Crangonyctidae|Not Listed
Toxolasma lividum|Purple Lilliput|AL, AR, GA, IL, IN, KS, KY, MO, MS, NC, OH, OK, TN|Unionidae|Not Listed
Vertigo meramecensis|Meramac River Vertigo|IA, MO|Pupillidae|Not Listed
