id,"Scientific Name","Common Name",CurrentDistribution,Family,"Federal Listing Status",image,photo_credit
1,"Acronicta albarufa","Barrens Dagger Moth","AR, CO, CT, DE, GA, MA, MO, NC, NJ, NM, NY, OH, PA;",Noctuidae,"Not Listed",https://live.staticflickr.com/65535/53416658599_93980dcaac.jpg,https://bugguide.net/node/view/1237584
2,"Agapetus artesus","Artesian agapetus caddisfly",MO;,Glossosomatidae,"Not Listed",https://live.staticflickr.com/65535/53415416637_2a48f10619_b.jpg,"https://en.wikipedia.org/wiki/Agapetus_%28caddisfly%29#/media/File:Agapetus_fuscipes,_Glossosomatidae,_Trawscoed,_June_2012_(17416647854).jpg"
3,"Ammodramus bairdii","Baird's sparrow","CO, ID, KS, MN, MO, MT, ND, NE, NM, OK, SD, TX, WY;",Emberizidae,"Not Listed",https://live.staticflickr.com/65535/53416658489_740153f05a_c.jpg,https://www.allaboutbirds.org/guide/Bairds_Sparrow/photo-gallery
4,"Calidris canutus rufa","Rufa red knot","AL, AR, CO, CT, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, WI, WV, WY; The rufa red knot migrates annually between its breeding grounds in the Canadian Arctic and several wintering regions, including the southeast U.S., the northwest Gulf of Mexico, northern Brazil and Tierra del Fuego at the southern tip of South America.   During both the northbound (spring) and southbound (fall) migrations, groups of a few individuals to thousands of rufa red  knots can be found anywhere along the coastal and inland U.S. migration corridors from Argentina to Canada.  In the spring, key staging and stopover areas include Patagonia, Argentina; eastern and northern Brazil; the southeast U.S.; the Virginia barrier islands; and Delaware Bay.   In the fall, key migration stopovers include Hudson Bay, James Bay, the St. Lawrence River, the Mingan Archipelago, and the Bay of Fundy in Canada; the Massachusetts and New Jersey coasts; the Altamaha River in Georgia; the Caribbean; and the northern coast of South America from Brazil to Guyana.",Scolopacidae,Threatened,https://live.staticflickr.com/65535/53416502793_581f986641_b.jpg,Nuhttps://en.wikipedia.org/wiki/Red_knot#/media/File:Red_Knot_1_-_Boat_Harbour.jpg
5,"Eurycea tynerensis","Oklahoma salamander","AR, MO, OK;",Plethodontidae,"Not Listed",https://live.staticflickr.com/65535/53416502698_b0e7862bba_b.jpg,https://www.inaturalist.org/observations/35206170
6,"Faxonius eupunctus","Coldwater crayfish","AR, MO;",Cambaridae,"Not Listed",https://live.staticflickr.com/65535/53415416677_58305093d3_b.jpg,https://news.illinois.edu/view/6367/616886
7,"canis latrans",Coyote,"AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY;",canidae,"Not Listed",https://live.staticflickr.com/65535/53416502848_24ba2e6576_b.jpg,https://mammals.carnegiemnh.org/pa-mammals/coyote-canis-latrans/
8,"Cardinalis cardinalis","Northern Cardinal","AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",Cardinalidae,"Not Listed",https://live.staticflickr.com/65535/53416335661_b1339a9d52_b.jpg,https://en.wikipedia.org/wiki/Northern_cardinal#/media/File:Male_northern_cardinal_in_Central_Park_(52612).jpg
9,"Catocala marmorata","Marbled underwing moth","DE, IL, IN, KY, MO, NC, NJ, NY, OH, PA, SC, VA, VT, WV;",Noctuidae,"Not Listed",https://live.staticflickr.com/65535/53416335686_ad47a6d2bc_k.jpg,https://auth1.dpr.ncparks.gov/moths/photos_records/2017/10/Catocala_marmorata1506961984.jpg
10,"Charadrius melodus","Piping Plover","AL, AR, CO, CT, DE, FL, GA, IA, KS, LA, MA, MD, ME, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OK, RI, SC, SD, TN, TX, VA, WY; Canada,Mexico,West Indies; U.S.A. (Great Lakes, Northern Great Plains, Atlantic and Gulf Coasts, PR, VI), Canada, Mexico, Bahamas, West Indies",Charadriidae,Threatened,https://live.staticflickr.com/65535/53416502748_e72a6c04e3_b.jpg,https://en.wikipedia.org/wiki/Piping_plover#/media/File:Charadrius-melodus-004_edit.jpg
