id,name,latitude,longitude,PARK_TYPE,URL,short_name
1,"Ha Ha Tonka State Park",37.96786290349126,-92.76354566426453,"State Park",http://mostateparks.com/park/ha-ha-tonka-state-park,"Ha Ha Tonka SP"
2,"Arrow Rock State Historic Site",39.065044568771164,-92.94457445908155,"State Historic Site",http://mostateparks.com/park/arrow-rock-state-historic-site,"Arrow Rock SHS"
3,"Edward "Ted"" and Pat Jones-Confluence Point State Park"",38.83490797600394,-90.12385407093906,"State Park",http://mostateparks.com/park/edward-ted-and-pat-jones-confluence-point-state-park,"Confluence Point SP"
4,"Wallace State Park",39.655797897833764,-94.21674925233187,"State Park",http://mostateparks.com/park/wallace-state-park,"Wallace SP"
5,"Weston Bend State Park",39.39037110358824,-94.87610680987113,"State Park",http://mostateparks.com/park/weston-bend-state-park,"Weston Bend SP"
6,"Nathan and Olive Boone Homestead State Historic Site",37.344324109760684,-93.57258896912677,"State Historic Site",http://mostateparks.com/park/nathan-boone-homestead-state-historic-site,"Boone Homestead SHS"
7,"St. Francois State Park",37.972099991491866,-90.52158624754239,"State Park",http://mostateparks.com/park/st-francois-state-park,"St Francois SP"
8,"Thomas Hart Benton Home and Studio State Historic Site",39.06209108134429,-94.59784907425424,"State Historic Site",http://mostateparks.com/park/thomas-hart-benton-home-and-studio-state-historic-site,"Benton Home & Studio SHS"
9,"Harry S Truman Birthplace State Historic Site",37.49395017070493,-94.27097033006,"State Historic Site",http://mostateparks.com/park/harry-s-truman-birthplace-state-historic-site,"Truman Birthplace SHS"
10,"Stockton State Park",37.60690832755519,-93.75062217584403,"State Park",http://mostateparks.com/park/stockton-state-park,"Stockton SP"
11,"Morris State Park",36.55056296905489,-90.04000845742698,"State Park",http://mostateparks.com/park/morris-state-park,"Morris SP"
12,"Onondaga Cave State Park",38.060550849438584,-91.23601031851923,"State Park",http://mostateparks.com/park/onondaga-cave-state-park,"Onondaga Cave SP"
13,"Gen. John J. Pershing Boyhood Home State Historic Site",39.78937742479565,-93.17032809806072,"State Historic Site",http://mostateparks.com/park/gen-john-j-pershing-boyhood-home-state-historic-site,"Pershing Boyhood Home SHS"
14,"Prairie State Park",37.51939105110548,-94.55345367943485,"State Park",http://mostateparks.com/park/prairie-state-park,"Prairie SP"
15,"Osage Village State Historic Site",37.981661622587104,-94.20705950495005,"State Historic Site",http://mostateparks.com/park/osage-village-state-historic-site,"Osage Village SHS"
16,"Elephant Rocks State Park",37.654733077921726,-90.68845027912366,"State Park",http://mostateparks.com/park/elephant-rocks-state-park,"Elephant Rocks SP"
17,"Mastodon State Historic Site",38.378780701718185,-90.39321727497158,"State Historic Site",http://mostateparks.com/park/mastodon-state-historic-site,"Mastodon SHS"
18,"Finger Lakes State Park",39.08947734095997,-92.31885134910675,"State Park",http://mostateparks.com/park/finger-lakes-state-park,"Finger Lakes SP"
19,"Clark's Hill/Norton State Historic Site",38.560344967204244,-92.02618216260153,"State Historic Site",http://mostateparks.com/park/clarks-hillnorton-state-historic-site,"Clark's Hill/Norton SHS"
20,"Confederate Memorial State Historic Site",39.097558799051555,-93.72644167845674,"State Historic Site",http://mostateparks.com/park/confederate-memorial-state-historic-site,"Confederate Memorial SHS"
21,"Sam A. Baker State Park",37.25896787863403,-90.52683539400397,"State Park",http://mostateparks.com/park/sam-baker-state-park,"Sam A Baker SP"
22,"Crowder State Park",40.10518122040246,-93.67527977096938,"State Park",http://mostateparks.com/park/crowder-state-park,"Crowder SP"
23,"Deutschheim State Historic Site",38.706259480388155,-91.43851172608765,"State Historic Site",http://mostateparks.com/park/deutschheim-state-historic-site,"Deutschheim SHS"
