X,Y,OBJECTID,LOC_NAME,PARK_ID,URL,SHORT_NAME,REGION,PARK_TYPE,GIS_ACRES
520769.7326,4202274.9553,979,Ha Ha Tonka State Park,4303,http://mostateparks.com/park/ha-ha-tonka-state-park,Ha Ha Tonka SP,Ozark Region,State Park,3826.38989257
504795.6027,4323995.3665,980,Arrow Rock State Historic Site,4101,http://mostateparks.com/park/arrow-rock-state-historic-site,Arrow Rock SHS,Northern Region,State Historic Site,171.6349945
749651.4159,4302386.7475,981,"Edward ""Ted"" and Pat Jones-Confluence Point State Park",4232,http://mostateparks.com/park/edward-ted-and-pat-jones-confluence-point-state-park,Confluence Point SP,Northern Region,State Park,1125.69995117
395618.1972,4390261.8697,982,Wallace State Park,4117,http://mostateparks.com/park/wallace-state-park,Wallace SP,Northern Region,State Park,476.38198852
338436.0277,4361776.0957,983,Weston Bend State Park,4119,http://mostateparks.com/park/weston-bend-state-park,Weston Bend SP,Northern Region,State Park,1096.47998046
449284.3252,4133223.4517,984,Nathan and Olive Boone Homestead State Historic Site,4313,http://mostateparks.com/park/nathan-boone-homestead-state-historic-site,Boone Homestead SHS,Ozark Region,State Historic Site,400.77099609
717697.7356,4205616.6997,985,St. Francois State Park,4216,http://mostateparks.com/park/st-francois-state-park,St Francois SP,Eastern Region,State Park,2579.95996093
361757.3558,4324881.0527,986,Thomas Hart Benton Home and Studio State Historic Site,4120,http://mostateparks.com/park/thomas-hart-benton-home-and-studio-state-historic-site,Benton Home & Studio SHS,Northern Region,State Historic Site,0.30511701
387647.9919,4150427.9705,987,Harry S Truman Birthplace State Historic Site,4309,http://mostateparks.com/park/harry-s-truman-birthplace-state-historic-site,Truman Birthplace SHS,Ozark Region,State Historic Site,2.48195004
433747.2886,4162466.2304,988,Stockton State Park,9004,http://mostateparks.com/park/stockton-state-park,Stockton SP,Ozark Region,State Park,2081.25
764945.4822,4049093.7752,989,Morris State Park,4231,http://mostateparks.com/park/morris-state-park,Morris SP,Eastern Region,State Park,160.81300354
654752.6558,4214001.4122,990,Onondaga Cave State Park,4215,http://mostateparks.com/park/onondaga-cave-state-park,Onondaga Cave SP,Eastern Region,State Park,1386.41003417
485416.8771,4404393.6733,991,Gen. John J. Pershing Boyhood Home State Historic Site,4112,http://mostateparks.com/park/gen-john-j-pershing-boyhood-home-state-historic-site,Pershing Boyhood Home SHS,Northern Region,State Historic Site,5.34723997
362721.876,4153625.4539,992,Prairie State Park,4307,http://mostateparks.com/park/prairie-state-park,Prairie SP,Ozark Region,State Park,3971.01000976
393995.7194,4204466.8082,993,Osage Village State Historic Site,4311,http://mostateparks.com/park/osage-village-state-historic-site,Osage Village SHS,Ozark Region,State Historic Site,99.62220001
703910.4291,4170020.8951,994,Elephant Rocks State Park,4208,http://mostateparks.com/park/elephant-rocks-state-park,Elephant Rocks SP,Eastern Region,State Park,145.18600463
