Park Code,Park Name,Scientific Name,Common Names,Family
GWCA,George Washington Carver National Monument,Panicum acuminatum var. acuminatum,"tapered rosette grass, Huachuca panic, tapered rosette grass, western panicgrass, hotsprings panicum, hotsprings rosette grass, tapered rosette grass",
GWCA,George Washington Carver National Monument,Panicum oligosanthes var. oligosanthes,"Heller's rosette grass, fewanther obscuregrass, Heller's rosette grass",
GWCA,George Washington Carver National Monument,Panicum sphaerocarpon var. sphaerocarpon,"roundseed panicgrass, roundseed panicum",
GWCA,George Washington Carver National Monument,Rorippa palustris ssp. glabra var. fernaldiana,,
GWCA,George Washington Carver National Monument,Alisma subcordatum,"American water plantain, southern water plantain, waterplaintain",Alismataceae
GWCA,George Washington Carver National Monument,Sagittaria latifolia,broadleaf arrowhead,Alismataceae
GWCA,George Washington Carver National Monument,Arisaema dracontium,"green dragon, greendragon",Araceae
GWCA,George Washington Carver National Monument,Lemna minor,"common duckweed, least duckweed, lesser duckweed",Araceae
GWCA,George Washington Carver National Monument,Spirodela polyrhiza,giant duckweed,Araceae
GWCA,George Washington Carver National Monument,Wolffia brasiliensis,Brazilian watermeal,Araceae
GWCA,George Washington Carver National Monument,Potamogeton crispus,"curly pondweed, curly-leaved pondweed",Potamogetonaceae
GWCA,George Washington Carver National Monument,Zannichellia palustris,"horned pondweed, horned poolmat, horned-pondweed",Potamogetonaceae
GWCA,George Washington Carver National Monument,Chaerophyllum tainturieri,hairyfruit chervil,Apiaceae
GWCA,George Washington Carver National Monument,Cicuta maculata,"common water hemlock, poison parsnip, spotted cowbane, spotted parsley, spotted water hemlock, spotted waterhemlock, spotted water-hemlock, water hemlock",Apiaceae
GWCA,George Washington Carver National Monument,Conium maculatum,"cigue maculee, cigue tachetee, deadly hemlock, poison hemlock, poison parsley, poison-hemlock",Apiaceae
GWCA,George Washington Carver National Monument,Cryptotaenia canadensis,"Canadian honewort, honewort",Apiaceae
GWCA,George Washington Carver National Monument,Daucus carota,"bird's nest, Queen Anne's lace, wild carrot",Apiaceae
GWCA,George Washington Carver National Monument,Daucus pusillus,"American wild carrot, rattlesnake carrot, rattlesnake weed, southwest wild carrot",Apiaceae
GWCA,George Washington Carver National Monument,Eryngium yuccifolium,button eryngo,Apiaceae
GWCA,George Washington Carver National Monument,Osmorhiza longistylis,"aniseroot, longstyle sweetroot",Apiaceae
GWCA,George Washington Carver National Monument,Ptilimnium nuttallii,"laceflower, Nuttall's mockbishopweed",Apiaceae
GWCA,George Washington Carver National Monument,Sanicula canadensis,"Canada sanicle, Canadian blacksnakeroot",Apiaceae
GWCA,George Washington Carver National Monument,Sanicula odorata,"cluster sanicle, clustered blacksnakeroot",Apiaceae
GWCA,George Washington Carver National Monument,Torilis arvensis,"erect hedgeparsley, hedgeparsley, spreading hedgeparsley",Apiaceae
GWCA,George Washington Carver National Monument,Zizia aurea,"golden alexanders, golden zizia",Apiaceae
GWCA,George Washington Carver National Monument,Hedera helix,English ivy,Araliaceae
GWCA,George Washington Carver National Monument,Ilex decidua,possumhaw,Aquifoliaceae
GWCA,George Washington Carver National Monument,Allium canadense,meadow garlic,Amaryllidaceae
GWCA,George Washington Carver National Monument,Allium stellatum,"autumn onion, prairie onion",Amaryllidaceae
GWCA,George Washington Carver National Monument,Allium vineale,wild garlic,Amaryllidaceae
GWCA,George Washington Carver National Monument,Narcissus pseudonarcissus,"common daffodil, daffodil",Amaryllidaceae
GWCA,George Washington Carver National Monument,Nothoscordum bivalve,crowpoison,Amaryllidaceae
GWCA,George Washington Carver National Monument,Camassia scilloides,Atlantic camas,Asparagaceae
