"Scientific Name","Common Name","CurrentDistribution","Family","Lead Region","Federal Listing Status"
"Agalinis auriculata","Auriculate false-foxglove","AR, IL, IN, KS, MD, MI, MN, MO, MS, OH, OK, PA, SC, TN, TX, VA, WI, WV;","Scrophulariaceae","3","Not Listed"
"Amorpha canescens","No common name","MO;","Fabaceae","3","Not Listed"
"Arabis missouriensis deamii","No common name","AR, IN, MI, MO, WI;","Brassicaceae","3","Not Listed"
"Asclepias meadii","Mead's milkweed","IA, IL, IN, KS, MO, WI; U.S.A. (WI, MO, KS, IN, IL, IA)","Asclepiadaceae","3","Threatened"
"Asplenium ebenoides","Scott's spleenwort","AL, AR, CT, DE, GA, IL, MA, MO, NC, NJ, OH, PA, TN, VA, WV;","Aspleniaceae","4","Not Listed"
"Boltonia decurrens","Decurrent false aster","IL, MO; U.S.A. (MO, IL)","Asteraceae","3","Threatened"
"Calamagrostis porteri insperata","Ofer Hollow reedgrass","AR, IL, KY, MO, OH;","Poaceae","3","Not Listed"
"Callirhoe bushii","[Unnamed] poppy-mallow","AR, IA, KS, MO, OK;","Malvaceae","4","Not Listed"
"Calopogon oklahomensis","Oklahoma grasspink","AR, IL, LA, MO, MS, OK, TX, WI;","Orchidaceae","3","Not Listed"
"Carex schweinitzii","[Unnamed] sedge","CT, DE, MA, MO, NC, NJ, NY, PA, VA, VT, WI;","Cyperaceae","5","Not Listed"
"Carex socialis","[Unnamed] sedge","AR, IL, IN, KY, MO, TN;","Cyperaceae","4","Not Listed"
"Castanea pumila ozarkensis","Ozark chinquapin","AL, AR, MO, OK;","Fagaceae","4","Not Listed"
"Chelone obliqua speciosa","No common name","AR, IA, IL, IN, KY, MI, MO;","Scrophulariaceae","4","Not Listed"
"Cladrastis kentukea","No common name","AL, AR, GA, IL, IN, KY, MO, MS, NC, OK, SC, TN;","Fabaceae","4","Not Listed"
"Cyperus grayoides","Umbrella sedge","IL, LA, MO, TX;","Cyperaceae","3","Not Listed"
"Cypripedium candidum","Small white lady's-slipper","AL, DE, IA, IL, IN, KY, MD, MI, MN, MO, ND, NE, NJ, NY, OH, PA, SD, WI;","Orchidaceae","3","Not Listed"
"Delphinium treleasei","[Unnamed] larkspur","AR, MO;","Ranunculaceae","4","Not Listed"
"Dodecatheon frenchii","French's shootingstar","AR, IL, IN, KY, MO;","Primulaceae","3","Not Listed"
"Draba aprica","No common name","AR, GA, MO, OK, SC;","Brassicaceae","4","Not Listed"
"Eleocharis wolfii","No common name","IA, IL, IN, KS, LA, MN, MO, ND, NE, OH, WI;","Cyperaceae","3","Not Listed"
"Eurybia furcata","[Unnamed] aster","AR, IA, IL, IN, MO, WI;","Asteraceae","3","Not Listed"
"Geocarpon minimum","No common name","AR, LA, MO, TX; U.S.A. (MO, LA, AR, TX)","Caryophyllaceae","4","Threatened"
"Helenium virginicum","Virginia sneezeweed","IN, MO, VA; U.S.A. (VA, MO)","Asteraceae","5","Threatened"
"Heuchera missouriensis","No common name","MO;","Saxifragaceae","3","Not Listed"
"Hydrastis canadensis","Goldenseal","AL, AR, CT, DE, GA, IA, IL, IN, KY, MD, MI, MN, MO, MS, NC, NY, OH, PA, TN, VA, VT, WI, WV;","Ranunculaceae","4","Not Listed"
"Lindera melissifolia","Pondberry","AL, AR, GA, MO, MS, NC, SC, TN; U.S.A. (SC, NC, MS, MO, LA, GA, FL, AR, AL)","Lauraceae","4","Endangered"
"Malvastrum hispidum","No common name","AL, IL, KS, KY, MO, NE, TN;","Malvaceae","3","Not Listed"
"Micranthes pensylvanica","Forbes saxifrage","IA, IL, IN, MN, MO, WI;","Saxifragaceae","3","Not Listed"
"Muhlenbergia curtisetosa","[Unnamed] muhly","IL, MO, OH, PA;","Poaceae","3","Not Listed"
"Neviusia alabamensis","No common name","AL, AR, GA, MO, MS, TN;","Rosaceae","4","Not Listed"
"Penstemon cobaea purpureus","No common name","AR, MO, OK;","Scrophulariaceae","3","Not Listed"
"Phlox bifida stellaria","Cleft, phlox","AR, IL, IN, KY, MO, TN;","Polemoniaceae","3","Not Listed"
"Physaria filiformis","Missouri bladderpod","AR, MO; U.S.A. (MO, AR)","Brassicaceae","3","Threatened"
"Plantago cordata","Heart-leaved plantain","AL, AR, DC, GA, IA, IL, IN, KY, MD, MI, MO, NC, NY, OH, TN, VA, WI; Canada (Ont.)","Plantaginaceae","4","Not Listed"
"Platanthera leucophaea","Eastern prairie fringed orchid","AR, IA, IL, IN, ME, MI, MN, MO, OH, PA, VA, WI, WV; Canada (N.B,Ont.); U.S.A. (WI, VA, PA, OK, OH, NY, NJ, NE, MO, MI, ME, IN, IL, IA, AR), Canada (Ont., N.B.)","Orchidaceae","3","Threatened"
"Platanthera peramoena","Purple fringeless orchid","AL, AR, DE, GA, IL, IN, KY, MD, MO, MS, NC, NJ, NY, OH, PA, SC, TN, VA, WV;","Orchidaceae","4","Not Listed"
"Platanthera praeclara","Western prairie fringed Orchid","CO, IA, KS, MN, MO, ND, NE, SD, WY; Canada (Man.); U.S.A. (SD, OK, NE, ND, MO, MN, KS, IA), Canada (Man.)","Orchidaceae","3","Threatened"
