Park Code,Park Name,Scientific Name,Common Names,Family
OZAR,Ozark National Scenic Riverways,Rhus copallina var. latifolia,"shining sumac, winged sumac",
OZAR,Ozark National Scenic Riverways,Alisma subcordatum,"American water plantain, southern water plantain, waterplaintain",Alismataceae
OZAR,Ozark National Scenic Riverways,Sagittaria latifolia,"broadleaf arrowhead, common arrowhead, duck-potato, wapato",Alismataceae
OZAR,Ozark National Scenic Riverways,Arisaema dracontium,"green dragon, greendragon",Araceae
OZAR,Ozark National Scenic Riverways,Arisaema triphyllum,Jack in the pulpit,Araceae
OZAR,Ozark National Scenic Riverways,Lemna trisulca,"ivy-leaf duckweed, star duckweed",Araceae
OZAR,Ozark National Scenic Riverways,Spirodela polyrrhiza,"common duckmeat, common duckweed, greater duckweed",Araceae
OZAR,Ozark National Scenic Riverways,Elodea nuttallii,"nuttall waterweed, Nuttall's waterweed, western waterweed",Hydrocharitaceae
OZAR,Ozark National Scenic Riverways,Najas gracillima,slender waternymph,Hydrocharitaceae
OZAR,Ozark National Scenic Riverways,Potamogeton foliosus,leafy pondweed,Potamogetonaceae
OZAR,Ozark National Scenic Riverways,Angelica venenosa,"hairy angelica, venous angelica",Apiaceae
OZAR,Ozark National Scenic Riverways,Chaerophyllum procumbens var. procumbens,spreading chervil,Apiaceae
OZAR,Ozark National Scenic Riverways,Cicuta maculata,"common water hemlock, poison parsnip, spotted cowbane, spotted parsley, spotted water hemlock, spotted water-hemlock, water hemlock",Apiaceae
OZAR,Ozark National Scenic Riverways,Cryptotaenia canadensis,"Canadian honewort, honewort",Apiaceae
OZAR,Ozark National Scenic Riverways,Daucus carota,"bird's nest, Queen Anne's lace, wild carrot",Apiaceae
OZAR,Ozark National Scenic Riverways,Erigenia bulbosa,harbinger of spring,Apiaceae
OZAR,Ozark National Scenic Riverways,Eryngium yuccifolium,"button eryngo, button snakeroot, Yuccaleaf eryngo",Apiaceae
OZAR,Ozark National Scenic Riverways,Ligusticum canadense,Canadian licorice-root,Apiaceae
OZAR,Ozark National Scenic Riverways,Osmorhiza longistylis,"aniseroot, longstyle sweetroot",Apiaceae
OZAR,Ozark National Scenic Riverways,Oxypolis rigidior,stiff cowbane,Apiaceae
OZAR,Ozark National Scenic Riverways,Sanicula canadensis,Canadian blacksnakeroot,Apiaceae
OZAR,Ozark National Scenic Riverways,Sanicula odorata,"cluster sanicle, clustered blacksnakeroot",Apiaceae
OZAR,Ozark National Scenic Riverways,Taenidia integerrima,"yellow pimpernel, yellow pimpernell",Apiaceae
OZAR,Ozark National Scenic Riverways,Thaspium barbinode,"hairyjoint meadowparsnip, hairyspine thaspium",Apiaceae
OZAR,Ozark National Scenic Riverways,Thaspium trifoliatum var. flavum,,Apiaceae
OZAR,Ozark National Scenic Riverways,Torilis arvensis,erect hedgeparsley,Apiaceae
OZAR,Ozark National Scenic Riverways,Zizia aptera,"heartleaf alexanders, heart-leaf alexanders, meadow zizia, meadowparsnip",Apiaceae
OZAR,Ozark National Scenic Riverways,Zizia aurea,"golden alexanders, golden zizia",Apiaceae
OZAR,Ozark National Scenic Riverways,Aralia racemosa,American spikenard,Araliaceae
OZAR,Ozark National Scenic Riverways,Panax quinquefolius,American ginseng,Araliaceae
OZAR,Ozark National Scenic Riverways,Ilex decidua,possumhaw,Aquifoliaceae
OZAR,Ozark National Scenic Riverways,Allium canadense,"Canada garlic, meadow garlic",Amaryllidaceae
OZAR,Ozark National Scenic Riverways,Allium cernuum,nodding onion,Amaryllidaceae
OZAR,Ozark National Scenic Riverways,Allium stellatum,"autumn onion, prairie onion",Amaryllidaceae
OZAR,Ozark National Scenic Riverways,Nothoscordum bivalve,crowpoison,Amaryllidaceae
OZAR,Ozark National Scenic Riverways,Camassia scilloides,Atlantic camas,Asparagaceae
OZAR,Ozark National Scenic Riverways,Maianthemum racemosum,"false Solomon's-seal, feather Solomon's seal, feathery false lily of the valley, feathery false Solomon's-seal",Asparagaceae
OZAR,Ozark National Scenic Riverways,Manfreda virginica,false aloe,Asparagaceae
OZAR,Ozark National Scenic Riverways,Polygonatum biflorum var. commutatum,"king Solomon's seal, King Solomon's-seal, smooth Solomon's seal",Asparagaceae
OZAR,Ozark National Scenic Riverways,Hypoxis hirsuta,common goldstar,Hypoxidaceae
OZAR,Ozark National Scenic Riverways,Sisyrinchium angustifolium,"blueeyed grass, blue-eyed grass, common blue-eyed grass, common blue-eyedgrass, narrowleaf blue-eyed grass",Iridaceae
OZAR,Ozark National Scenic Riverways,Sisyrinchium campestre,"prairie blueeyed grass, prairie blue-eyed grass",Iridaceae
OZAR,Ozark National Scenic Riverways,Corallorhiza odontorhiza,autumn coralroot,Orchidaceae
OZAR,Ozark National Scenic Riverways,Cypripedium calceolus var. pubescens,"greater yellow lady's slipper, greater yellow lady's-slipper, hairy ladyslipper, yellow ladyslipper",Orchidaceae
OZAR,Ozark National Scenic Riverways,Cypripedium reginae,"showy lady's slipper, showy lady's-slipper",Orchidaceae
OZAR,Ozark National Scenic Riverways,Galearis spectabilis,"showy orchid, showy orchis",Orchidaceae
OZAR,Ozark National Scenic Riverways,Goodyera pubescens,downy rattlesnake-plantain,Orchidaceae
OZAR,Ozark National Scenic Riverways,Liparis liliifolia,brown widelip orchid,Orchidaceae
OZAR,Ozark National Scenic Riverways,Liparis loeselii,"yellow widelip orchid, yellow wide-lip orchid",Orchidaceae
OZAR,Ozark National Scenic Riverways,Malaxis unifolia,"green addersmouth orchid, green adder's-mouth orchid",Orchidaceae
OZAR,Ozark National Scenic Riverways,Platanthera flava,"palegreen orchid, southern rein orchid",Orchidaceae
OZAR,Ozark National Scenic Riverways,Platanthera peramoena,purple fringeless orchid,Orchidaceae
OZAR,Ozark National Scenic Riverways,Spiranthes cernua,"common ladies' tresses, nodding ladiestresses, nodding ladies'-tresses, nodding lady's tresses, white nodding ladies'-tresses",Orchidaceae
OZAR,Ozark National Scenic Riverways,Spiranthes lacera var. gracilis,"northern slender ladiestresses, northern slender ladies'-tresses, northern slender lady's tresses",Orchidaceae
OZAR,Ozark National Scenic Riverways,Spiranthes magnicamporum,"Great Plains ladiestresses, Great Plains ladies'-tresses, Great Plains lady's tresses",Orchidaceae
OZAR,Ozark National Scenic Riverways,Achillea millefolium,"bloodwort, carpenter's weed, common yarrow, hierba de las cortaduras, milenrama, milfoil, plumajillo, western yarrow, yarrow",Asteraceae
OZAR,Ozark National Scenic Riverways,Ambrosia artemisiifolia,"annual ragweed, common ragweed, low ragweed, ragweed, Roman wormwood, short ragweed, small ragweed",Asteraceae
OZAR,Ozark National Scenic Riverways,Ambrosia bidentata,lanceleaf ragweed,Asteraceae
OZAR,Ozark National Scenic Riverways,Ambrosia trifida,"blood ragweed, giant ragweed, great ragweed, horseweed, perennial ragweed, tall ragweed, Texan great ragweed",Asteraceae
OZAR,Ozark National Scenic Riverways,Antennaria parlinii ssp. fallax,Parlin's pussytoes,Asteraceae
OZAR,Ozark National Scenic Riverways,Antennaria plantaginifolia,"plantainleaf pussytoes, woman's tobacco",Asteraceae
OZAR,Ozark National Scenic Riverways,Arctium minus,"beggar's button, burdock, common burdock, lesser burdock, lesser burrdock, small burdock, smaller burdock, wild burdock, wild rhubarb",Asteraceae
OZAR,Ozark National Scenic Riverways,Artemisia annua,"annual wormwood, sweet sagewort",Asteraceae
OZAR,Ozark National Scenic Riverways,Artemisia campestris ssp. caudata,"field sagewort, field wormwood, Pacific wormwood",Asteraceae
OZAR,Ozark National Scenic Riverways,Aster anomalus,manyray aster,Asteraceae
OZAR,Ozark National Scenic Riverways,Aster cordifolius,common blue wood aster,Asteraceae
OZAR,Ozark National Scenic Riverways,Aster furcatus,forked aster,Asteraceae
OZAR,Ozark National Scenic Riverways,Aster laevis,smooth blue aster,Asteraceae
OZAR,Ozark National Scenic Riverways,Aster lateriflorus,farewell summer,Asteraceae
OZAR,Ozark National Scenic Riverways,Aster linariifolius,flaxleaf aster,Asteraceae
OZAR,Ozark National Scenic Riverways,Aster novae-angliae,New England aster,Asteraceae
OZAR,Ozark National Scenic Riverways,Aster oblongifolius,aromatic aster,Asteraceae
OZAR,Ozark National Scenic Riverways,Aster oolentangiensis,skyblue aster,Asteraceae
OZAR,Ozark National Scenic Riverways,Aster patens var. patentissimus,late purple aster,Asteraceae
OZAR,Ozark National Scenic Riverways,Aster pilosus,white oldfield aster,Asteraceae
