Park Code,Park Name,Scientific Name,Common Names,Family
WICR,Wilson's Creek National Battlefield,Angelica venenosa,Fern,Apiaceae
WICR,Wilson's Creek National Battlefield,Chaerophyllum procumbens,Spreading chervil,Apiaceae
WICR,Wilson's Creek National Battlefield,Chaerophyllum tainturieri,Southern chervil,Apiaceae
WICR,Wilson's Creek National Battlefield,Conium maculatum,Poison hemlock,Apiaceae
WICR,Wilson's Creek National Battlefield,Daucus carota,"Wild carrot, Queen Anne's lace",Apiaceae
WICR,Wilson's Creek National Battlefield,Eryngium yuccifolium,Rattlesnake-master,Apiaceae
WICR,Wilson's Creek National Battlefield,Osmorhiza longistylis,Long-styled sweet cicely,Apiaceae
WICR,Wilson's Creek National Battlefield,Polytaenia nuttallii,Prairie parsley,Apiaceae
WICR,Wilson's Creek National Battlefield,Sanicula canadensis,Canada sanicle,Apiaceae
WICR,Wilson's Creek National Battlefield,Sanicula odorata,Sanicle,Apiaceae
WICR,Wilson's Creek National Battlefield,Taenidia integerrima,Yellow pimpernel,Apiaceae
WICR,Wilson's Creek National Battlefield,Thaspium barbinode,Bearded meadow-parsnip,Apiaceae
WICR,Wilson's Creek National Battlefield,Torilis arvensis,Field hedge-parsley,Apiaceae
WICR,Wilson's Creek National Battlefield,Torilis japonica,Japanese hedge-parsley,Apiaceae
WICR,Wilson's Creek National Battlefield,Zizia aurea,Common golden alexanders,Apiaceae
WICR,Wilson's Creek National Battlefield,Hedera helix,"Ivy, English ivy",Araliaceae
WICR,Wilson's Creek National Battlefield,Ilex verticillata,Winterberry,Aquifoliaceae
WICR,Wilson's Creek National Battlefield,Allium canadense,Onion,Amaryllidaceae
WICR,Wilson's Creek National Battlefield,Allium canadense var. mobilense,Onion,Amaryllidaceae
WICR,Wilson's Creek National Battlefield,Allium sativum,Garlic,Amaryllidaceae
WICR,Wilson's Creek National Battlefield,Allium vineale,"Field-garlic, scallions",Amaryllidaceae
WICR,Wilson's Creek National Battlefield,Narcissus poeticus,Poet's narcissus,Amaryllidaceae
WICR,Wilson's Creek National Battlefield,Narcissus pseudonarcissus,Daffodil,Amaryllidaceae
WICR,Wilson's Creek National Battlefield,Nothoscordum bivalve,Lily,Amaryllidaceae
WICR,Wilson's Creek National Battlefield,Camassia scilloides,Wild hyacinth,Asparagaceae
WICR,Wilson's Creek National Battlefield,Polygonatum biflorum,Solomon's seal,Asparagaceae
WICR,Wilson's Creek National Battlefield,Polygonatum biflorum var. commutatum,Solomon's seal,Asparagaceae
WICR,Wilson's Creek National Battlefield,Sisyrinchium angustifolium,Blue-eyed grass,Iridaceae
